TEST CONDITIONS,,,,,,RESULTS,,,,,,,,,
Test Time (s),PTDC (%),Task Type,Priority Scheme,RDC (%),,Avg. Lat. (ms),Max. Lat. (ms),Avg. Throughput (bps),PER (%),Max. Turnaround Time (ms),Avg. Turnaround Time (ms),Max. Wait Time (ms),Avg. Wait Time (ms),Avg.  Exec. Time (ms),Num. Rcv. Pckts.
180,50,1,1,10,,154,310,1564,0,4.161,2.107,2.127,0.073,2.034,881
180,25,1,1,10,,155,310,1557,0,4.382,2.104,2.349,0.071,2.033,876
180,5,1,1,10,,154,309,1568,0,3.597,2.109,1.566,0.078,2.031,881
180,50,2,1,10,,155,323,1559,0,13.482,10.28,3.461,0.259,10.021,877
180,25,2,1,10,,154,319,1552,0,12.828,10.283,2.808,0.263,10.02,873
180,5,2,1,10,,155,374,1562,0,13.091,10.241,3.086,0.236,10.005,879
180,50,3,1,10,,156,364,1554,0,54.74,51.137,4.761,1.158,49.979,874
180,25,3,1,10,,156,353,1544,0,54.442,51.052,4.519,1.129,49.923,869
180,5,3,1,10,,156,363,1545,0,52.614,50.54,2.603,0.529,50.011,869
180,50,1,2,10,,157,375,1537,0,3.972,2.098,1.937,0.063,2.035,865
180,25,1,2,10,,156,366,1550,0,3.546,2.093,1.514,0.061,2.032,871
180,5,1,2,10,,154,355,1568,0,3.241,2.093,1.21,0.062,2.031,882
180,50,2,2,10,,158,422,1530,0,13.461,10.266,3.41,0.215,10.051,861
180,25,2,2,10,,154,312,1571,0,13.157,10.265,3.135,0.243,10.022,885
180,5,2,2,10,,156,321,1553,0,13.111,10.247,3.107,0.243,10.004,874
180,50,3,2,10,,157,362,1541,0,54.563,51.132,4.555,1.124,50.008,867
180,25,3,2,10,,155,371,1559,0,54.903,51.031,4.889,1.017,50.014,877
180,5,3,2,10,,154,328,1566,0,52.962,50.573,2.946,0.557,50.016,881
180,50,1,3,10,,278,700,963,0,2.419,2.04,0.401,0.022,2.018,545
180,25,1,3,10,,218,717,1189,0,2.443,2.04,0.425,0.022,2.018,669
180,5,1,3,10,,165,382,1488,0,2.4,2.046,0.377,0.023,2.023,837
180,50,2,3,10,,440,3549,574,0,10.403,10.029,0.398,0.024,10.005,323
180,25,2,3,10,,240,512,1097,0,10.407,10.021,0.402,0.016,10.005,617
180,5,2,3,10,,174,381,1420,0,10.201,10.007,0.211,0.017,9.99,802
180,50,3,3,10,,666,12705,366,0,50.493,49.973,0.583,0.063,49.91,206
180,25,3,3,10,,334,6241,700,0,51.075,49.904,1.214,0.043,49.861,394
180,5,3,3,10,,171,445,1441,0,50.142,49.484,0.705,0.047,49.437,811
,,,,,,,,,,,,,,,
180,50,1,1,15,,123,187,1847,0,4.199,2.125,2.162,0.088,2.037,1039
180,25,1,1,15,,123,189,1847,0,3.809,2.114,1.775,0.08,2.034,1039
180,5,1,1,15,,124,192,1845,0,3.335,2.115,1.304,0.084,2.031,1038
180,50,2,1,15,,123,193,1843,0,13.136,10.362,3.111,0.337,10.025,1037
180,25,2,1,15,,123,197,1848,0,13.089,10.356,3.065,0.332,10.024,1040
180,5,2,1,15,,123,199,1847,0,12.065,10.231,2.152,0.318,9.913,1039
180,50,3,1,15,,123,186,1848,0,54.514,51.029,4.464,0.979,50.05,1040
180,25,3,1,15,,124,193,1843,0,54.617,51.406,4.545,1.334,50.072,1037
180,5,3,1,15,,124,198,1847,0,53.148,48.739,5.801,1.392,47.347,1039
180,50,1,2,15,,123,280,1765,0,3.631,2.115,1.594,0.078,2.037,993
180,25,1,2,15,,123,190,1847,0,3.491,2.111,1.456,0.076,2.035,1039
180,5,1,2,15,,125,241,1831,0,2.972,2.105,0.942,0.075,2.03,1030
180,50,2,2,15,,124,227,1840,0,12.872,10.348,2.845,0.321,10.027,1035
180,25,2,2,15,,124,237,1838,0,13.056,10.337,3.03,0.311,10.026,1034
180,5,2,2,15,,124,234,1845,0,11.765,10.217,1.847,0.299,9.918,1038
180,50,3,2,15,,124,274,1843,0,54.534,51.122,4.868,1.456,49.666,1037
180,25,3,2,15,,124,239,1845,0,53.36,50.365,4.285,1.29,49.075,1038
180,5,3,2,15,,124,193,1847,0,52.95,48.691,5.588,1.329,47.362,1039
